Exercise,Muscle,Equipment,Difficulty,Male,Female
Cable Standing Crunch,Abdominals,Cables,Advanced,https://musclewiki.com/cables/male/abdominals/cable-standing-crunch,https://musclewiki.com/cables/female/abdominals/cable-standing-crunch
Cable Row Bar Kneeling Crunch,"Abdominals, Upper Abdominals",Cables,Beginner,https://musclewiki.com/cables/male/abdominals/cable-row-bar-kneeling-crunch,https://musclewiki.com/cables/female/abdominals/cable-row-bar-kneeling-crunch
Cable Rope Kneeling Oblique Crunch,"Abdominals, Upper Abdominals",Cables,Beginner,https://musclewiki.com/cables/male/abdominals/cable-rope-kneeling-oblique-crunch,https://musclewiki.com/cables/female/abdominals/cable-rope-kneeling-oblique-crunch
Cable Rope Kneeling Crunch,"Abdominals, Upper Abdominals",Cables,Beginner,https://musclewiki.com/cables/male/abdominals/cable-rope-kneeling-crunch,https://musclewiki.com/cables/female/abdominals/cable-rope-kneeling-crunch
Band Crunch,Abdominals,Band,Intermediate,https://musclewiki.com/band/male/abdominals/band-crunch,https://musclewiki.com/band/female/abdominals/band-crunch
Plate Overhead Carry,"Abdominals, Shoulders, Lateral Deltoid, Anterior Deltoid, Traps, Front Shoulders",Plate,Beginner,https://musclewiki.com/plate/male/abdominals/plate-overhead-carry,https://musclewiki.com/plate/female/abdominals/plate-overhead-carry
Plate Russian Twist,"Abdominals, Obliques",Plate,Intermediate,https://musclewiki.com/plate/male/abdominals/plate-russian-twist,https://musclewiki.com/plate/female/abdominals/plate-russian-twist
Plate Situp,Abdominals,Plate,Beginner,https://musclewiki.com/plate/male/abdominals/plate-situp,https://musclewiki.com/plate/female/abdominals/plate-situp
Weighted Forearm Plank,Abdominals,Plate,Intermediate,https://musclewiki.com/plate/male/abdominals/weighted-forearm-plank,https://musclewiki.com/plate/female/abdominals/weighted-forearm-plank
Weighted Hand Plank,Abdominals,Plate,Intermediate,https://musclewiki.com/plate/male/abdominals/weighted-hand-plank,https://musclewiki.com/plate/female/abdominals/weighted-hand-plank
Plate Hollow Hold,Abdominals,Plate,Advanced,https://musclewiki.com/plate/male/abdominals/plate-hollow-hold,https://musclewiki.com/plate/female/abdominals/plate-hollow-hold
Weighted Plank Up Down,Abdominals,Plate,Beginner,https://musclewiki.com/plate/male/abdominals/weighted-plank-up-down,https://musclewiki.com/plate/female/abdominals/weighted-plank-up-down
TRX Forearm Plank,Abdominals,TRX,Beginner,https://musclewiki.com/trx/male/abdominals/trx-forearm-plank,https://musclewiki.com/trx/female/abdominals/trx-forearm-plank
TRX Hand Plank,Abdominals,TRX,Intermediate,https://musclewiki.com/trx/male/abdominals/trx-hand-plank,https://musclewiki.com/trx/female/abdominals/trx-hand-plank
TRX Kneeling Ab Rollout,"Abdominals, Lats",TRX,Intermediate,https://musclewiki.com/trx/male/abdominals/trx-kneeling-ab-rollout,https://musclewiki.com/trx/female/abdominals/trx-kneeling-ab-rollout
TRX Knee Tuck,"Abdominals, Lower Abdominals",TRX,Beginner,https://musclewiki.com/trx/male/abdominals/trx-knee-tuck,https://musclewiki.com/trx/female/abdominals/trx-knee-tuck
TRX Mountain Climber,"Abdominals, Lower Abdominals",TRX,Beginner,https://musclewiki.com/trx/male/abdominals/trx-mountain-climber,https://musclewiki.com/trx/female/abdominals/trx-mountain-climber
TRX Pike,"Abdominals, Lower Abdominals",TRX,Intermediate,https://musclewiki.com/trx/male/abdominals/trx-pike,https://musclewiki.com/trx/female/abdominals/trx-pike
Urdhva Dhanurasana Wheel Pose,Abdominals,Yoga,Beginner,https://musclewiki.com/yoga/male/abdominals/urdhva-dhanurasana-wheel-pose,https://musclewiki.com/yoga/female/abdominals/urdhva-dhanurasana-wheel-pose
Bosu Ball Forearm Plank,Abdominals,Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/abdominals/bosu-ball-forearm-plank,https://musclewiki.com/bosu-ball/female/abdominals/bosu-ball-forearm-plank
Bosu Ball Hand Plank,Abdominals,Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/abdominals/bosu-ball-hand-plank,https://musclewiki.com/bosu-ball/female/abdominals/bosu-ball-hand-plank
Bosu Ball Plank Glute Kickback,"Abdominals, Glutes",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/abdominals/plank-glute-kickback,https://musclewiki.com/bosu-ball/female/abdominals/plank-glute-kickback
Bosu Ball Situp,"Abdominals, Upper Abdominals",Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/abdominals/situp,https://musclewiki.com/bosu-ball/female/abdominals/situp
Bosu Ball Toe Tap,"Abdominals, Lower Abdominals",Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/abdominals/toe-tap,https://musclewiki.com/bosu-ball/female/abdominals/toe-tap
Bosu Ball Up And Over,"Abdominals, Lower Abdominals",Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/abdominals/up-and-over,https://musclewiki.com/bosu-ball/female/abdominals/up-and-over
Bosu Ball Walkover Pushup,"Abdominals, Triceps, Chest",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/abdominals/bosu-ball-walkover-pushup,https://musclewiki.com/bosu-ball/female/abdominals/bosu-ball-walkover-pushup
Vitruvian Crunch,Abdominals,Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/abdominals/crunch,https://musclewiki.com/vitruvian/female/abdominals/crunch
Toe Tap,"Abdominals, Lower Abdominals",Cardio,Novice,https://musclewiki.com/cardio/male/abdominals/toe-tap,https://musclewiki.com/cardio/female/abdominals/toe-tap
Cardio Forward Scissor,"Abdominals, Lower Abdominals, Glutes, Quads, Rectus Femoris",Cardio,Beginner,https://musclewiki.com/cardio/male/abdominals/cardio-forward-scissor,https://musclewiki.com/cardio/female/abdominals/cardio-forward-scissor
Cardio In And Out Forward,"Abdominals, Lower Abdominals, Glutes, Quads, Rectus Femoris",Cardio,Beginner,https://musclewiki.com/cardio/male/abdominals/cardio-in-and-out-forward,https://musclewiki.com/cardio/female/abdominals/cardio-in-and-out-forward
Cardio Ski Erg,"Abdominals, Lats, Triceps",Cardio,Beginner,https://musclewiki.com/cardio/male/abdominals/cardio-ski-erg,https://musclewiki.com/cardio/female/abdominals/cardio-ski-erg
Smith Machine Hanging Knee Tuck,"Abdominals, Lower Abdominals",Smith-Machine,Beginner,https://musclewiki.com/smith-machine/male/abdominals/smith-machine-hanging-knee-tuck,https://musclewiki.com/smith-machine/female/abdominals/smith-machine-hanging-knee-tuck
Smith Machine Reverse Crunch Hip Raise,"Abdominals, Lower Abdominals",Smith-Machine,Intermediate,https://musclewiki.com/smith-machine/male/abdominals/smith-machine-reverse-crunch-hip-raise,https://musclewiki.com/smith-machine/female/abdominals/smith-machine-reverse-crunch-hip-raise
Smith Machine Situp,"Abdominals, Upper Abdominals",Smith-Machine,Beginner,https://musclewiki.com/smith-machine/male/abdominals/smith-machine-situp,https://musclewiki.com/smith-machine/female/abdominals/smith-machine-situp
Core Stability Regression Crosslateral Limb Raise Push Up Position,"Abdominals, Glutes, Shoulders, Anterior Deltoid, Obliques, Front Shoulders",Recovery,Advanced,https://musclewiki.com/recovery/male/abdominals/core-stability-regression-crosslateral-limb-raise-push-up-position,https://musclewiki.com/recovery/female/abdominals/core-stability-regression-crosslateral-limb-raise-push-up-position
Bosu Serratus Activation Active Plank,"Abdominals, Chest",Recovery,Novice,https://musclewiki.com/recovery/male/shoulders/bosu-serratus-activation-active-plank,https://musclewiki.com/recovery/female/shoulders/bosu-serratus-activation-active-plank
Serratus Activation Active Plank,"Abdominals, Chest",Recovery,Novice,https://musclewiki.com/recovery/male/abdominals/serratus-activation-active-plank,https://musclewiki.com/recovery/female/abdominals/serratus-activation-active-plank
Dead Bugs Same Side,"Abdominals, Obliques",Recovery,Beginner,https://musclewiki.com/recovery/male/abdominals/dead-bugs-same-side,https://musclewiki.com/recovery/female/abdominals/dead-bugs-same-side
Dead Bugs Cross Lateral,"Abdominals, Obliques",Recovery,Beginner,https://musclewiki.com/recovery/male/abdominals/dead-bugs-cross-lateral,https://musclewiki.com/recovery/female/abdominals/dead-bugs-cross-lateral
Core Stability 5 Crosslateral Limb Raise Into Knee Elbow Tuck Push Up Position,"Abdominals, Glutes, Shoulders, Anterior Deltoid, Obliques, Front Shoulders",Recovery,Advanced,https://musclewiki.com/recovery/male/abdominals/core-stability-5-crosslateral-limb-raise-into-knee-elbow-tuck-push-up-position,https://musclewiki.com/recovery/female/abdominals/core-stability-5-crosslateral-limb-raise-into-knee-elbow-tuck-push-up-position
Core Stability 4 Crosslateral Limb Raise Push Up Position,"Abdominals, Glutes, Shoulders, Anterior Deltoid, Obliques, Front Shoulders",Recovery,Advanced,https://musclewiki.com/recovery/male/abdominals/core-stability-4-crosslateral-limb-raise-push-up-position,https://musclewiki.com/recovery/female/abdominals/core-stability-4-crosslateral-limb-raise-push-up-position
Core Stability 1 Crosslateral Limb Raise 4Pt Position,"Abdominals, Glutes, Shoulders, Anterior Deltoid, Obliques, Front Shoulders",Recovery,Beginner,https://musclewiki.com/recovery/male/abdominals/core-stability-1-crosslateral-limb-raise-4pt-position,https://musclewiki.com/recovery/female/abdominals/core-stability-1-crosslateral-limb-raise-4pt-position
Leg Lowers,"Abdominals, Lower Abdominals",Recovery,Novice,https://musclewiki.com/recovery/male/abdominals/leg-lowers,https://musclewiki.com/recovery/female/abdominals/leg-lowers
Lower Abdominals,,,,,
Barbell Larsen Bench Press,"Abdominals, Lower Abdominals, Triceps, Chest",Barbell,Advanced,https://musclewiki.com/barbell/male/abdominals/barbell-larsen-bench-press,https://musclewiki.com/barbell/female/abdominals/barbell-larsen-bench-press
Bench Lift Off Active,"Lower Abdominals, Lower Traps",Recovery,Intermediate,https://musclewiki.com/recovery/male/lower-abdominals/bench-lift-off-active,https://musclewiki.com/recovery/female/lower-abdominals/bench-lift-off-active
Bench Lift Off Static,"Lower Abdominals, Quads",Recovery,Intermediate,https://musclewiki.com/recovery/male/lower-abdominals/bench-lift-off-static,https://musclewiki.com/recovery/female/lower-abdominals/bench-lift-off-static
Upper Abdominals,,,,,
Barbell Situp,"Abdominals, Upper Abdominals","Barbell, Intermediate",Intermediate,"https://musclewiki.com/barbell/male/abdominals/barbell-situp, Male|Female","https://musclewiki.com/barbell/female/abdominals/barbell-situp, Barbell"
Calves,,,,,
Barbell Calf Jump,"Calves, Tibialis, Gastrocnemius","Barbell, Advanced",Advanced,"https://musclewiki.com/barbell/male/calves/barbell-calf-jump, Male|Female","https://musclewiki.com/barbell/female/calves/barbell-calf-jump, Barbell"
Barbell Seated Calf Raise,"Calves, Tibialis",Barbell,Beginner,https://musclewiki.com/barbell/male/calves/barbell-seated-calf-raise,https://musclewiki.com/barbell/female/calves/barbell-seated-calf-raise
Barbell Toes Up Calf Raise,Calves,Barbell,Beginner,https://musclewiki.com/barbell/male/calves/barbell-toes-up-calf-raise,https://musclewiki.com/barbell/female/calves/barbell-toes-up-calf-raise
Landmine Calf Raise,Calves,Barbell,Intermediate,https://musclewiki.com/barbell/male/calves/landmine-calf-raise,https://musclewiki.com/barbell/female/calves/landmine-calf-raise
Dumbbell Calf Raise,"Calves, Gastrocnemius",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/calves/dumbbell-calf-raise,https://musclewiki.com/dumbbells/female/calves/dumbbell-calf-raise
Dumbbell Seated Calf Raise,"Calves, Tibialis",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/calves/dumbbell-seated-calf-raise,https://musclewiki.com/dumbbells/female/calves/dumbbell-seated-calf-raise
Tip Toe Walking,Calves,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/calves/tip-toe-walking,https://musclewiki.com/bodyweight/female/calves/tip-toe-walking
Calf Raises,"Calves, Gastrocnemius",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/calves/calf-raises,https://musclewiki.com/bodyweight/female/calves/calf-raises
Walking Calf Raises,"Calves, Gastrocnemius",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/calves/walking-calf-raises,https://musclewiki.com/bodyweight/female/calves/walking-calf-raises
Bodyweight Donkey Calf Raise,Calves,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/calves/bodyweight-donkey-calf-raise,https://musclewiki.com/bodyweight/female/calves/bodyweight-donkey-calf-raise
Machine Standing Calf Raises,"Calves, Gastrocnemius",Machine,Novice,https://musclewiki.com/machine/male/calves/machine-standing-calf-raises,https://musclewiki.com/machine/female/calves/machine-standing-calf-raises
Machine Seated Calf Raises,"Calves, Tibialis",Machine,Novice,https://musclewiki.com/machine/male/calves/machine-seated-calf-raises,https://musclewiki.com/machine/female/calves/machine-seated-calf-raises
Machine Horizontal Leg Press Calf Jump,Calves,Machine,Beginner,https://musclewiki.com/machine/male/calves/machine-horizontal-leg-press-calf-jump,https://musclewiki.com/machine/female/calves/machine-horizontal-leg-press-calf-jump
Machine Horizontal Leg Press Calf Raise,"Calves, Gastrocnemius",Machine,Beginner,https://musclewiki.com/machine/male/calves/machine-horizontal-leg-press-calf-raise,https://musclewiki.com/machine/female/calves/machine-horizontal-leg-press-calf-raise
Kettlebell Single Leg Calf Raise,"Calves, Gastrocnemius",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/calves/kettlebell-single-leg-calf-raise,https://musclewiki.com/kettlebells/female/calves/kettlebell-single-leg-calf-raise
Kettlebell Calf Raise,Calves,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/calves/kettlebell-calf-raise,https://musclewiki.com/kettlebells/female/calves/kettlebell-calf-raise
Kettlebell Seated Calf Raise,"Calves, Tibialis",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/calves/kettlebell-seated-calf-raise,https://musclewiki.com/kettlebells/female/calves/kettlebell-seated-calf-raise
Kettlebell Single Arm Calf Raise,"Calves, Gastrocnemius",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/calves/kettlebell-single-arm-calf-raise,https://musclewiki.com/kettlebells/female/calves/kettlebell-single-arm-calf-raise
Kettlebell Goblet Calf Raise,Calves,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/calves/kettlebell-goblet-calf-raise,https://musclewiki.com/kettlebells/female/calves/kettlebell-goblet-calf-raise
Kettlebell Single Leg Single Arm Calf Raise,"Calves, Gastrocnemius",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/calves/kettlebell-single-leg-single-arm-calf-raise,https://musclewiki.com/kettlebells/female/calves/kettlebell-single-leg-single-arm-calf-raise
Kettlebell Seated Calf Raise Double,"Calves, Tibialis",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/calves/kettlebell-seated-calf-raise-double,https://musclewiki.com/kettlebells/female/calves/kettlebell-seated-calf-raise-double
Calves Stretch Variation Three,Calves,Stretches,Beginner,https://musclewiki.com/stretches/male/calves/calves-stretch-variation-three,https://musclewiki.com/stretches/female/calves/calves-stretch-variation-three
Calves Stretch Variation Two,Calves,Stretches,Beginner,https://musclewiki.com/stretches/male/calves/calves-stretch-variation-two,https://musclewiki.com/stretches/female/calves/calves-stretch-variation-two
Calves Stretch Variation One,Calves,Stretches,Beginner,https://musclewiki.com/stretches/male/calves/calves-stretch-variation-one,https://musclewiki.com/stretches/female/calves/calves-stretch-variation-one
Cable Calve Raise,Calves,Cables,Beginner,https://musclewiki.com/cables/male/calves/cable-calve-raise,https://musclewiki.com/cables/female/calves/cable-calve-raise
Cable Bar Calve Raise,Calves,Cables,Novice,https://musclewiki.com/cables/male/calves/cable-bar-calve-raise,https://musclewiki.com/cables/female/calves/cable-bar-calve-raise
Band Calf Raise,Calves,Band,Novice,https://musclewiki.com/band/male/calves/band-calf-raise,https://musclewiki.com/band/female/calves/band-calf-raise
TRX Calf Raise,Calves,TRX,Novice,https://musclewiki.com/trx/male/calves/trx-calf-raise,https://musclewiki.com/trx/female/calves/trx-calf-raise
Downward Dog Toe To Heel,Calves,Yoga,Beginner,https://musclewiki.com/yoga/male/calves/downward-dog-toe-to-heel,https://musclewiki.com/yoga/female/calves/downward-dog-toe-to-heel
Pyramid Pose Calf Blocks,Calves,Yoga,Beginner,https://musclewiki.com/yoga/male/calves/pyramid-pose-calf-blocks,https://musclewiki.com/yoga/female/calves/pyramid-pose-calf-blocks
Walk Your Downward Dog,Calves,Yoga,Beginner,https://musclewiki.com/yoga/male/calves/walk-your-downward-dog,https://musclewiki.com/yoga/female/calves/walk-your-downward-dog
Bosu Ball Calf Raise,Calves,Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/calves/calf-raise,https://musclewiki.com/bosu-ball/female/calves/calf-raise
Vitruvian Seated Calf Raise,Calves,Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/calves/seated-calf-raise,https://musclewiki.com/vitruvian/female/calves/seated-calf-raise
Vitruvian Standing Calf Raise,Calves,Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/calves/standing-calf-raise,https://musclewiki.com/vitruvian/female/calves/standing-calf-raise
Cardio Box Quick Feet,Calves,Cardio,Intermediate,https://musclewiki.com/cardio/male/calves/cardio-box-quick-feet,https://musclewiki.com/cardio/female/calves/cardio-box-quick-feet
Cardio Criss Cross Jacks,"Calves, Glutes, Gluteus Medius, Shoulders, Lateral Deltoid, Anterior Deltoid, Front Shoulders",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-criss-cross-jacks,https://musclewiki.com/cardio/female/calves/cardio-criss-cross-jacks
Cardio Diamond Hop,Calves,Cardio,Intermediate,https://musclewiki.com/cardio/male/calves/cardio-diamond-hop,https://musclewiki.com/cardio/female/calves/cardio-diamond-hop
Cardio Figure Eight Sprint,"Calves, Glutes, Hamstrings, Quads",Cardio,Intermediate,https://musclewiki.com/cardio/male/calves/cardio-figure-eight-sprint,https://musclewiki.com/cardio/female/calves/cardio-figure-eight-sprint
Cardio In And Outs,"Calves, Glutes, Gluteus Medius",Cardio,Intermediate,https://musclewiki.com/cardio/male/calves/cardio-in-and-outs,https://musclewiki.com/cardio/female/calves/cardio-in-and-outs
Cardio In In Out Out Shuffle,"Calves, Glutes, Gluteus Medius",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-in-in-out-out-shuffle,https://musclewiki.com/cardio/female/calves/cardio-in-in-out-out-shuffle
Cardio Knee Taps,"Calves, Hamstrings, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-knee-taps,https://musclewiki.com/cardio/female/calves/cardio-knee-taps
Cardio Lateral Quick Feet,"Calves, Glutes, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-lateral-quick-feet,https://musclewiki.com/cardio/female/calves/cardio-lateral-quick-feet
Cardio Lateral Shuffle,"Calves, Glutes, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-lateral-shuffle,https://musclewiki.com/cardio/female/calves/cardio-lateral-shuffle
Cardio Long Jump,"Calves, Glutes, Quads",Cardio,Intermediate,https://musclewiki.com/cardio/male/calves/cardio-long-jump,https://musclewiki.com/cardio/female/calves/cardio-long-jump
Cardio Long Jump Shuffle Back,"Calves, Glutes, Quads",Cardio,Intermediate,https://musclewiki.com/cardio/male/calves/cardio-long-jump-shuffle-back,https://musclewiki.com/cardio/female/calves/cardio-long-jump-shuffle-back
Cardio Quick Feet,Calves,Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-quick-feet,https://musclewiki.com/cardio/female/calves/cardio-quick-feet
Cardio Seal Jacks,"Calves, Gluteus Medius, Front Shoulders, Rear Shoulders",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-seal-jacks,https://musclewiki.com/cardio/female/calves/cardio-seal-jacks
Cardio Shuttle Sprint,"Calves, Glutes, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-shuttle-sprint,https://musclewiki.com/cardio/female/calves/cardio-shuttle-sprint
Cardio Single Leg Forward Hop,Calves,Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-single-leg-forward-hop,https://musclewiki.com/cardio/female/calves/cardio-single-leg-forward-hop
Cardio Single Leg Lateral Hop,Calves,Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-single-leg-lateral-hop,https://musclewiki.com/cardio/female/calves/cardio-single-leg-lateral-hop
Cardio Skater To Single Leg Burpee,"Calves, Glutes, Chest",Cardio,Advanced,https://musclewiki.com/cardio/male/calves/cardio-skater-to-single-leg-burpee,https://musclewiki.com/cardio/female/calves/cardio-skater-to-single-leg-burpee
Cardio Sprint In Place,"Calves, Glutes, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-sprint-in-place,https://musclewiki.com/cardio/female/calves/cardio-sprint-in-place
Cardio Three Step Heismans,"Calves, Glutes, Hamstrings, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/cardio-three-step-heismans,https://musclewiki.com/cardio/female/calves/cardio-three-step-heismans
Treadmill Jog,"Calves, Glutes, Hamstrings, Quads",Cardio,Novice,https://musclewiki.com/cardio/male/calves/treadmill-jog,https://musclewiki.com/cardio/female/calves/treadmill-jog
Treadmill Sprint,"Calves, Glutes, Hamstrings, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/calves/treadmill-sprint,https://musclewiki.com/cardio/female/calves/treadmill-sprint
Treadmill Walk,"Calves, Glutes, Hamstrings, Quads",Cardio,Novice,https://musclewiki.com/cardio/male/calves/treadmill-walk,https://musclewiki.com/cardio/female/calves/treadmill-walk
Jump Rope,Calves,Cardio,Beginner,https://musclewiki.com/cardio/male/calves/jump-rope,https://musclewiki.com/cardio/female/calves/jump-rope
Smith Machine Seated Calf Raise,"Calves, Tibialis",Smith-Machine,Novice,https://musclewiki.com/smith-machine/male/calves/smith-machine-seated-calf-raise,https://musclewiki.com/smith-machine/female/calves/smith-machine-seated-calf-raise
Smith Machine Calf Raise,"Calves, Gastrocnemius",Smith-Machine,Novice,https://musclewiki.com/smith-machine/male/calves/smith-machine-calf-raise,https://musclewiki.com/smith-machine/female/calves/smith-machine-calf-raise
Gastrocnemius Stretch Push Up Position,"Calves, Gastrocnemius",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/gastrocnemius-stretch-push-up-position,https://musclewiki.com/recovery/female/calves/gastrocnemius-stretch-push-up-position
Calf Stretch On Box Bilateral,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-stretch-on-box-bilateral,https://musclewiki.com/recovery/female/calves/calf-stretch-on-box-bilateral
Calf Raise Isometric Unilateral,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-isometric-unilateral,https://musclewiki.com/recovery/female/calves/calf-raise-isometric-unilateral
Soleus Stretch,"Calves, Tibialis",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/soleus-stretch-static,https://musclewiki.com/recovery/female/calves/soleus-stretch-static
Seated Plantar Flexions,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/plantar-flexions-seated-resisted,https://musclewiki.com/recovery/female/calves/plantar-flexions-seated-resisted
Gastrocnemius Stretch Unilateral On Box,"Calves, Gastrocnemius",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/gastrocnemius-stretch-unilateral-on-box,https://musclewiki.com/recovery/female/calves/gastrocnemius-stretch-unilateral-on-box
Gastrocnemius Stretch Unilateral On Wall,"Calves, Gastrocnemius",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/gastrocnemius-stretch-unilateral-on-wall,https://musclewiki.com/recovery/female/calves/gastrocnemius-stretch-unilateral-on-wall
Gastrocnemius Stretch Bilateral On Box,"Calves, Gastrocnemius",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/gastrocnemius-stretch-bilateral-on-box,https://musclewiki.com/recovery/female/calves/gastrocnemius-stretch-bilateral-on-box
Calf Raise 3B Soleus Bias Unilateral,"Calves, Tibialis",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-3b-soleus-bias-unilateral,https://musclewiki.com/recovery/female/calves/calf-raise-3b-soleus-bias-unilateral
Calf Raise 3A Soleus Bias Bilateral,"Calves, Tibialis",Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-3a-soleus-bias-bilateral,https://musclewiki.com/recovery/female/calves/calf-raise-3a-soleus-bias-bilateral
Calf Raise 2D Unilateral From Box,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-2d-unilateral-from-box,https://musclewiki.com/recovery/female/calves/calf-raise-2d-unilateral-from-box
Calf Raise 2C Eccentric Unilateral From Box,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-2c-eccentric-unilateral-from-box,https://musclewiki.com/recovery/female/calves/calf-raise-2c-eccentric-unilateral-from-box
Calf Raise 2B Unilateral Floor,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-2b-unilateral-floor,https://musclewiki.com/recovery/female/calves/calf-raise-2b-unilateral-floor
Calf Raise 2A Eccentric Unilateral Floor,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-2a-eccentric-unilateral-floor,https://musclewiki.com/recovery/female/calves/calf-raise-2a-eccentric-unilateral-floor
Calf Raise 1E Bilateral Isometric Floor,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-1e-bilateral-isometric-floor,https://musclewiki.com/recovery/female/calves/calf-raise-1e-bilateral-isometric-floor
Calf Raise 1D Bilateral From Box,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-1d-bilateral-from-box,https://musclewiki.com/recovery/female/calves/calf-raise-1d-bilateral-from-box
Calf Raise 1C Bilateral Eccentric From Box,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-1c-bilateral-eccentric-from-box,https://musclewiki.com/recovery/female/calves/calf-raise-1c-bilateral-eccentric-from-box
Calf Raise 1B Bilateral Floor,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-1b-bilateral-floor,https://musclewiki.com/recovery/female/calves/calf-raise-1b-bilateral-floor
Calf Raise 1A Bilateral Eccentric Floor,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-raise-1a-bilateral-eccentric-floor,https://musclewiki.com/recovery/female/calves/calf-raise-1a-bilateral-eccentric-floor
Calf Mobilisation Seated Floor Roll,Calves,Recovery,Beginner,https://musclewiki.com/recovery/male/calves/calf-mobilisation-seated-floor-roll,https://musclewiki.com/recovery/female/calves/calf-mobilisation-seated-floor-roll
Calf Isometric On Step,Calves,Recovery,Novice,https://musclewiki.com/recovery/male/calves/calf-isometric-on-step,https://musclewiki.com/recovery/female/calves/calf-isometric-on-step
Ankle Circle,Calves,Recovery,Novice,https://musclewiki.com/recovery/male/ankles/ankle-circle,https://musclewiki.com/recovery/female/ankles/ankle-circle
Tibialis,,,,,
Standing Tibialis Raise,Tibialis,Beginner,,Male|Female,Barbell
Dumbbell Seated Tibialis Raise,Tibialis,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/tibialis/dumbbell-seated-tibialis-raise,https://musclewiki.com/dumbbells/female/tibialis/dumbbell-seated-tibialis-raise
Dumbbell Standing Tibialis Raise,Tibialis,Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/tibialis/dumbbell-standing-tibialis-raise,https://musclewiki.com/dumbbells/female/tibialis/dumbbell-standing-tibialis-raise
Seated Tibialis Raise,Tibialis,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/tibialis/seated-tibialis-raise,https://musclewiki.com/bodyweight/female/tibialis/seated-tibialis-raise
Dorsal Flexion Hold,Tibialis,Recovery,Novice,https://musclewiki.com/recovery/male/ankles/dorsal-flexion-hold,https://musclewiki.com/recovery/female/ankles/dorsal-flexion-hold
